reviewer_name,Review Title,Place of Review,Up Votes,Down Votes,Month,review_text,rating,Review_Title,Place_of_Review,Date_of_Review,Up_Votes,Down_Votes,review_title,place_of_review,Date_of_review,up_votes,Down_votes,sentiment,cleaned_review
Kamal Suresh,Nice product,"Certified Buyer, Chirakkal",889.0,64.0,Feb 2021,"Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.READ MORE",4.0,,,,,,,,,,,1,nice product good quality price rising bad sign affordable price especially play everyday kindly help u term price thank
Flipkart Customer,Don't waste your money,"Certified Buyer, Hyderabad",109.0,6.0,Feb 2021,They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.READ MORE,1.0,,,,,,,,,,,0,didnt supplied yonex mavis outside cover yonex ad inside cheapest sad hear
A. S. Raja Srinivasan ,Did not meet expectations,"Certified Buyer, Dharmapuri",42.0,3.0,Apr 2021,Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.READ MORE,1.0,,,,,,,,,,,0,worst product damaged shuttlecock packed new box original yonex product dont buyflipkart platform chosen fraud buyer
ASHIK P A,Over priced,,147.0,24.0,Apr 2016,Over pricedJust â?¹620 ..from retailer.I didn't understand.. Wat is d advantage of buying dis frm flipkrtREAD MORE,1.0,,,,,,,,,,,0,pricedjust retaileri didnt understand wat advantage buying dis frm flipkrt
Baji Sankar,Mind-blowing purchase,"Certified Buyer, Hyderabad",173.0,45.0,Oct 2018,Good quality product. Delivered on time.READ MORE,5.0,,,,,,,,,,,1,good quality product delivered time
Flipkart Customer,Must buy!,"Certified Buyer, Doom Dooma",403.0,121.0,Jan 2020,BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was goodREAD MORE,5.0,,,,,,,,,,,1,best purchase good quality durable average shuttle shipping good
Flipkart Customer,Classy product,"Certified Buyer, Panjim",59.0,13.0,Oct 2018,Good quality original shuttles.READ MORE,5.0,,,,,,,,,,,1,good quality original shuttle
 Jafar  Qureshi,Great product,"Certified Buyer, Sheopur",14.0,1.0,Aug 2018,AwesomeREAD MORE,5.0,,,,,,,,,,,1,awesome
Bheemesh,Just wow!,"Certified Buyer, Kurnool",50.0,12.0,May 2018,nice original productsREAD MORE,5.0,,,,,,,,,,,1,nice original product
ABBCD Zggg,Just wow!,"Certified Buyer, Channarayapatna",57.0,16.0,Jun 2020,This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....READ MORE,5.0,,,,,,,,,,,1,green cap shuttlecock really awesome quality best good packingthis green cap shuttlecock played warm conditionsworth money simply loved
